urdu_text,is_sarcastic,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
لینے میری شادی فسادن کوجی نہیں چاہیے,1.0,,,,,,
چل مہمانوں میں کھانا سرو کر چڑیل چاچی نوں دسدی آں میں,1.0,,,,,,
کامران خان آپکی دن بھریہ زمہ داری لگائی اپوزیشن کردار کشی اوراس پربھونکناہےآپ خوشامدگری وچاپلوسی سےاورکتنی دولت کماناچاہتےہیں موٹرسائیکل سےپیجارو پراڈو کےسفرمیں ضمیرکی لاش سےاٹھتی بدبوآپ ناک بند نہیں نوٹ آپ سب سےالتجاگزارش ہےہمیں بھی فالوکریں شکریہ,0.0,,,,,,
مراد علی شاہ بھیس میں ڈی جی ایس حامد میر,1.0,,,,,,
قابل اعتبار قاتل اعتبار,1.0,,,,,,
انساں کو تھکا دیتا سوچوں کا سفر بھی,0.0,,,,,,
حامد میر صاحب ویلڈن,0.0,,,,,,
یار وچارہ ویلا ہوندا اس آرے لگا ہویا تسی تے پکے نجومی اسی منندے ہاں,1.0,,,,,,
سمجھ سارا پاکستان بیوقوف ھے,1.0,,,,,,
تسی لڑاں کروانی ساڈی,0.0,,,,,,
پائن دوبارہ فالو کرئیے,0.0,,,,,,
کتنی مہنگائی الو دوسو روپے درجن کدو 80روپے گز ISPR,1.0,,,,,,
عشق جب تم کو راس آۓ گا زخم کھاٶ م سکراٶ,1.0,,,,,,
چونا ایسا ہوتا,0.0,,,,,,
خاتم_النبیین_محمدﷺ Surat 73 سورة المزمل Ayt 20 حصہ5 ترجمہ کچھ اللہ راہ میں لڑتے جتنا قرآن میسر پڑھواورنماز قائم رکھواورزکو ة دواور اللہ کو اچھا قرض درود_وقرآن ص ل اللہ ل ح ہ سی د ن ا م ح م د آل ہ ص ح ہ س ل م,0.0,,,,,,
اب بس بھی بیچارے پہلے بیویاں ہیے کر اپ نے تیسری لیے ٹرائ کرنا,1.0,,,,,,
پتہ نہیں کر ہورہا سی سی بورڈ کو زنگ لگ جا,1.0,,,,,,
اللہ آپ کو اپنی رحمتوں سائے میں مکمل صحت یاب فرمائے,0.0,,,,,,
آرمی چیف کا نوٹس اب مجرم اپنے جرائیم خود نوٹس لے کرےگا,0.0,,,,,,
کھوتی دیا بچیا تیری عزت کیتی اے تیری قدر کیتی اے شکر کر تیری بونڈ نئیں ماری جے تیری بونڈ ماری ہوندی تے تینوں پٹھاناں ہتھے چاڑ دینا سی تے پین یکا,1.0,,,,,,
فوج سیاست سے بلاول زرداری فوج کراچی واقعے کا نوٹس بلاول زرداری,1.0,,,,,,
شکریہ لڑکی جیتی رہ,0.0,,,,,,
صدائیں درودوں آتی رہینگی جنہیں سن کر دل شاد ہوتا گا خدا اہلسنت کو آباد محمد کا میلاد ہوتا رہیگا ﷺ Eide,0.0,,,,,,
ووٹ بجائے ووٹر کو عز دیں,1.0,,,,,,
2004 میں نشئی نے کہ تھا اگر اسٹیبلشمنٹ چاہیے کتا بھی وزیراعظم بن سکتا 2018 میں ہم نے کتے کو PMبنتے دیکھ لے,1.0,,,,,,
مشکل لیکن ناممکن نہیں اگر کامران صاحب کوشش,0.0,,,,,,
میں نے پورے ہفتے سے سالن روٹی نہیں کھا حال نہیں میرا,0.0,,,,,,
وھ بھی ھو بیشک میں ھے ھو وہ کیمنا حرام زیادہ ھو جو حق بات نہیں کرتا کامران خان تم نے کتنا پیسا لے,1.0,,,,,,
میں ماضی انتہائی بے وقوف حال سمجھدار لڑکی مریم نواز بزدارکی_پرواز_بلاول_بیک,0.0,,,,,,
آمین ثمہ آمین,0.0,,,,,,
جیتھے کھوتی وتھے آ کھلوتی,1.0,,,,,,
اسمبلی بغیر ڈیزل چل کیونکہ ا سکو گدھا رہا ھے گدھے کو ڈیزل نہیں ڈنڈے,1.0,,,,,,
عجیب بات کامران خان صاحب نے پنگا بھی ان سے جن ابھی بھی گولیاں محو رقص انہیں پتہ ہونا چاہیئے آپ کوئ بھی خبر غلط نہیں سکتی,0.0,,,,,,
دروازے بہت اتارتے پہلے اب خود کو تھپڑ لگاتے,1.0,,,,,,
ویسے اپنے پیر کلہاڑی مارنا کوئ ان سے سیکھے,1.0,,,,,,
آپ دلہن پھپھو میری نہیں,0.0,,,,,,
میں محمد ندیم ملک بطور عام پاکستانی بلاول زرداری دل عزیز وزیر اعلی پنجاب جناب عثمان احمد خان بزدار خلاف بیان پرزور مزمت کرتا بزدارکی_پرواز_بلاول_بیکار,1.0,,,,,,
قطری نانی بلو رانی ذلیل ہونے کا وقت چاہتا قطری نانی گیم میں بری طرح پھنس جا صفدر کو آزاد کر واکے اب سارا ٹوپی ڈرامہ جب فوج بلو رانی گا عزت مآب میں نے خود درخواست آپ حضور قطری نانی جال سے بچائیں,1.0,,,,,,
اچھا بھائیوں کو زیادہ ویلکم کر سکتی تم لڑکی بہنوں کو نہیں بلی زرا ہمارے بھائیوں پہ کڑی نظر,0.0,,,,,,
موٹی چڑیل ٹویٹ کس,0.0,,,,,,
ایتھے تے سب جج نے,1.0,,,,,,
اک محترمہ سارا دن پاک فوج خلاف بکواس کر رات کو فوجی ساتھ سو جاتی کر گل,1.0,,,,,,
ان کو لگ انکے دیوتا طرح پاکستان لکیروں سہارے سوچتا بول,0.0,,,,,,
ہاہاہاہاہاہاہاہاہاہاہااہاہاہاہا لگدا اے مینوں ای قربانی دینی پڑنی اے,0.0,,,,,,
نہیں اس کو الٹی کھوپڑی بات کان سے سنو دوسرے سے نکال,1.0,,,,,,
سن تھا 1 ہوتا ساتھ 1 11 گیارہ بن جا مگر تاریخ میں 11 کو 1 نے برباد کردیا واہ خان صاحب,1.0,,,,,,
وہ اپنی زندگی میں مصروف اتنا وہ کس کو بھول جا اسے بھی یاد نہیں اردو_زبان,0.0,,,,,,
ہور ٹرک آنا سی,1.0,,,,,,
جو بھی ملوث ا س کو دوبارہ سندھ پولیس حوالے کرنا چاہیے,1.0,,,,,,
اس وچ کہڑہ جوک جناب چھڈو رھن دیو تہانوں گیم دا نہیں پتا اج,0.0,,,,,,
شکر استعفی لکھنا آ اب اگلے جنم میں مل بھی جائے گا,0.0,,,,,,
خبر آرمی چیف نے بلاول پریس کانفرنس بعد نہیں بلکہ صبح کراچی واقعات بابت نوٹس کر کور کمانڈر کراچی کو تحقیقات کر رپورٹ پیش کرنے کا حکم دیا تھا جس بعد سندھ حکومت نے IG سندھ کو زبردستی چھٹیوں بھیجا کھیل مزید دلچسپ جا,1.0,,,,,,
کراچی جلسے میں کو کر بلالیا جا تھا بلاول مرگیا ھے اسکی برسی ھے ISPR,1.0,,,,,,
محبت وراثت میں نہیں مل تلاش کرنا پڑتی ہے_ ادب_کا_سفر,0.0,,,,,,
