urdu_text,is_sarcastic,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
لین میر شاد فسادن کوج نہ چاہی,1.0,,,,,,
چل مہمان م کھان سرو کر چڑیل چاچ ن دسد آں م,1.0,,,,,,
کامران خان آپک دن بھری زم دار لگائ اپوزیشن کردار کش اوراس پربھونکناہےآپ خوشامدگر وچاپلوس سےاورکتن دولت کماناچاہتےہ موٹرسائیکل سےپیجارو پراڈو کےسفرم ضمیرک لاش سےاٹھت بدبوآپ ناک بند نہ نوٹ آپ سب سےالتجاگزارش ہےہم بھ فالوکر شکری,0.0,,,,,,
مراد عل شا بھیس م ڈ ج ایس حامد میر,1.0,,,,,,
قابل اعتبار قاتل اعتبار,1.0,,,,,,
انساں کو تھک دیت سوچ ک سفر بھ,0.0,,,,,,
حامد میر صاحب ویلڈن,0.0,,,,,,
یار وچار ویل ہوند اس آر لگ ہوی تس ت پک نجوم اس منند ہاں,1.0,,,,,,
سمجھت سار پاکستان بیوقوف ھ,1.0,,,,,,
تس لڑاں کروان ساڈ,0.0,,,,,,
پائن دوبار فالو کرئی,0.0,,,,,,
کتن مہنگائ الو دوسو روپ درجن کدو 80روپ گز ISPR,1.0,,,,,,
عشق جب تم کو راس آۓ گ زخم کھاٶ م سکراٶ,1.0,,,,,,
چون ایس ہوت,0.0,,,,,,
خاتم_النبیین_محمدﷺ Surat 73 سورة المزمل Ayt 20 حصہ5 ترجم کچھ الل را م لڑت جتن قرآن میسر پڑھواورنماز قائم رکھواورزکو ة دواور الل کو اچھ قرض درود_وقرآن ص ل الل ل ح  س د ن  م ح م د آل  ص ح  س ل م,0.0,,,,,,
اب بس بھ بیچار پہل بیویاں ہی کی اپ ن تیسر لی ٹرائ کرن,1.0,,,,,,
پت نہ کی ہورہ س س بورڈ کو زنگ لگ گی,1.0,,,,,,
الل آپ کو اپن رحمت سائ م مکمل صحت یاب فرمائ,0.0,,,,,,
آرم چیف ک نوٹس اب مجرم اپن جرائیم خود نوٹس لی کرےگ,0.0,,,,,,
کھوت دی بچی تیر عزت کیت ا تیر قدر کیت ا شکر کر تیر بونڈ نئ مار ج تیر بونڈ مار ہوند ت تین پٹھاناں ہتھ چاڑ دین س ت پین یک,1.0,,,,,,
فوج سیاست س بلاول زردار فوج کراچ واقع ک نوٹس بلاول زردار,1.0,,,,,,
شکری لڑک جیت ر,0.0,,,,,,
صدائ درود آت رہینگ جنہ سن کر دل شاد ہوت گ خد اہلسنت کو آباد محمد ک میلاد ہوت رہیگ ﷺ Eide,0.0,,,,,,
ووٹ بجائ ووٹر کو عز د,1.0,,,,,,
